#,Customer/Vendor Code,Customer/Vendor Name,Export/Import,PD/CHA,BP Reference No.,Posting Date,Due Date,Document Date,Internal Number,Document Number,E/IR,ER/IR No,Membership Number,Previous Receipt No,Shipper Address,Tracking Number,Order Number,Pay to,NoP,Gross Comm. UOM,Gross Wt,U_NWeight,Net Comm. UOM,IEC No,PD Account,MAWB No,HAWB No,Shipment Type,Document Total,Document Currency,ExporterCode,ExporterName,CHA No,CHB Nm-PD,CHB Cd-PD,Item/Service Description,Row Total,AddSerChrg,Weight,Value,Commodity,NetWt,Total Tax,Rounding Diff. Amount,Taxable Amt,Control Account,CGST Amt @ 9%,SGST Amt @ 9%,IGST Amt @ 18%,SacCode,Irn Number,Receipt No,Cheque No
10,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,03/07/2023,02/08/2023,03/07/2023,3218356,295303,ER No,757,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2186563,R1-JE9010B,1,Kgs,1.5,,CARAT,AAQFN4016M,PD-0579,02346256652,2925,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,2572288.39,CUT AND POLISHED DIAMOND,17.790000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,7146b756879c955b0b20012a926095d258f2a63b2588e3936bbce12f1f59825c,253685,
88,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,08/08/2023,07/09/2023,08/08/2023,3367666,312640,ER No,3233,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,3046961,R1-JE9010B,2,Kgs,6.38,,CARAT,AAQFN4016M,PD-0579,72471156562,99013762728,NORMAL,979,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,830,0,0,6362575.13,CUT AND POLISHED DIAMOND,164.710000 CARAT,149.4,-0.4,830,1040201014,74.7,74.7,0,996719,9b9d237e1a6ce7ef1b3752c973ad19c9846d87111e8a1342ded6c98b17f83e53,254541,
235,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,07/04/2023,07/05/2023,07/04/2023,2846021,252967,ER No,2648,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9132330,R1-JE9010B,1,Kgs,2.76,,CARAT,AAQFN4016M,PD-0579,02344619083,IPS/K000204,NORMAL,1345,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1140,0,0,3480416.84,CUT AND POLISHED DIAMOND,43.600000 CARAT,205.2,-0.2,1140,1040201014,102.6,102.6,0,996719,813ba2ca728f813faa8977906d00727ed284014ba5c25e8c737ef60f3932f2b1,250860,
555,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,28/06/2023,28/07/2023,28/06/2023,3174590,293163,ER No,11261,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2071072,R1-JE9010B,2,Kgs,4.8,,CARAT,AAQFN4016M,PD-0579,02346111472,2773,NORMAL,979,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,830,0,0,6624454.08,CUT AND POLISHED DIAMOND,67.010000 CARAT,149.4,-0.4,830,1040201014,74.7,74.7,0,996719,09cee64fc6b4f3b6d7bfbe7ac2a55d1b8f199b0c865e3b0ad73fcc124dd93ef8,253228,
589,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,03/04/2023,03/05/2023,03/04/2023,2815234,250860,ER No,725,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9029315,R1-JE9010B,1,Kgs,2.05,,CARAT,AAQFN4016M,PD-0579,16055926835,9531,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,2339001.24,LAB. GROWN CPD,45.380000 CARAT,198,0,1100,1040201014,99,99,0,996719,b39ec658f7c5fd5b7805f592d68ed29f02f56045f473aa970841af2e3312da0c,250860,
628,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,14/08/2023,13/09/2023,14/08/2023,3385054,315463,ER No,5719,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,3185224,R1-JE9010B,4,Kgs,13.35,,CARAT,AAQFN4016M,PD-0579,72471156945,3738,NORMAL,1451,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1230,0,0,16602036.63,CUT AND POLISHED DIAMOND,427.150000 CARAT,221.4,-0.4,1230,1040201014,110.7,110.7,0,996719,67d56bcc6e63f59f4ecd0d0d0542dc131a2646d1cf34756eb2d343021319b4a6,,
766,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,17/05/2023,16/06/2023,17/05/2023,3004812,272334,ER No,8987,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1076691,R1-JE9010B,2,Kgs,4.25,,CARAT,AAQFN4016M,PD-0579,02345464786,1417,NORMAL,1345,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1140,0,0,4414398.22,CUT AND POLISHED DIAMOND,66.150000 CARAT,205.2,-0.2,1140,1040201014,102.6,102.6,0,996719,b7a6135f61f1fcfd54bdf5bcdf8cce0ba6338c6901eed5618d1fff847a4919e7,252793,
767,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,03/06/2023,03/07/2023,03/06/2023,3083383,281334,ER No,948,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1503247,R1-JE9010B,1,Kgs,1.37,,CARAT,AAQFN4016M,PD-0579,02345801943,2000,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,659343.32,CUT AND POLISHED DIAMOND,20.680000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,8e46a52ba8f1aeeb89136a379bfa23244c542a4ac5f2ccd4d51e1d28ba513b47,252795,
916,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,06/04/2023,06/05/2023,06/04/2023,2839284,252143,ER No,2025,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9103073,R1-JE9010B,1,Kgs,1.2,,CARAT,AAQFN4016M,PD-0579,17658875456,99013740238,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,904003.56,LAB. GROWN CPD,30.980000 CARAT,198,0,1100,1040201014,99,99,0,996719,f65c7a1b1690fae3a4e75238f16189b5f9d18dd8ef3d58ed6ec2f07d5a080d16,250860,
955,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,03/08/2023,02/09/2023,03/08/2023,3350234,310521,ER No,1308,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2935544,R1-JE9010B,1,Kgs,0.8,,"CARAT,CARAT",AAQFN4016M,PD-0579,02346739976,3884,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,437797.89,"CUT AND POLISHED DIAMOND,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS","38.920000 CARAT,CARAT",135,0,750,1040201014,67.5,67.5,0,996719,231f5de10d61f4d43c9c5819a6d1d414b755795a5a3981773ff9ac54a3d36a63,254541,
