,NIVODA LLP,,01/04/2023  TO 30/09/2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Out MAWB,Execution Date,HAWB #,PU Date,SHIPPER NAME,CONSIGNEE NAME,City,Dest. Site Country,Commodity, Customs Value $ USD,GRS WT,Air Frt Chrgs,Hawb Fees,Wt. Chg.,Val. Chg. ,CDC Charges,Handling charges,ACC Charges,EU /ETC CHANGES AIRLINE,Security Surcharges,Val Charges,Add Valuation,ASI Charges,Ser. Tax,Total Revenue INR
1,176 5887 5261,03/04/23,99013739447,01/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$4,726",0.50 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,38.53,285.00,"1,119.88",7341.41
2,176 5887 5261,03/04/23,99013739514,03/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Cut and Polished Diamonds,"$5,956",0.33 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,49.19,285.00,"1,121.79",7353.98
3,160 5592 6835,03/04/23,99013739531,03/04/23,NIVODA LLP,NIVODA AUSTRALIA PTY LTD,DONVALE,AUSTRALIA,Lab Grown Diamonds,"$34,380",2.10 KG,"7,800.00","3,025.00","3,000.00",8.00,,"26,600.00",270.00,,200.00,500.00,282.00,285.00,"7,554.60",49524.6
4,160 5592 6802,03/04/23,99013739528,03/04/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$10,688",0.72 KG,"2,700.00",,,8.00,,,270.00,,200.00,500.00,87.71,285.00,729.13,4779.84
5,125 5380 8296,03/04/23,99013739552,03/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$119,322",11.04 KG,"4,400.00",,"15,750.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,782.04,285.00,"5,399.13",35394.17
6,724 7024 4425,03/04/23,99013739556,03/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$225,156",11.28 KG,"3,200.00",,"18,900.00",8.00,,,270.00,900.00,200.00,500.00,"1,846.08",285.00,"4,699.63",30808.71
7,176 5887 5456,06/04/23,99013740214,05/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Cut and Polished Diamonds,"$8,271",0.35 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,68.04,285.00,"1,125.19",7376.23
