BVC Bill Date,BVC Bill No.,Our Invoice No.,Shipping Bill No/BOE NO,OUR INVOICE VALUE,BACK TO TOWN SURCHARGE,AMENDMENT FACILITAION FEE,ONLINE FILING & E-SANCHIT SERVICE FEE,MISCALLENEOUS CHARGES,CONSOLIDATED AGENCY CHARGES,TAXTYPE,CGST,SGST,Total Tax,Round off,Total Amount
04/07/2022,2723BKCEXP000062,,9006470,0,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/07/2022,2723BKCEXP000071,,9006474,0,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/07/2022,2723BKCEXP000128,IN-US20220401011,9411440,8169.15,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000390,IN-NL20220405025,9496568,25649.17,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000391,IN-GB20220405042,9505548,65526.84,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000393,IN-US20220406017,9506228,87454.4,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000394,IN-HK20220406017,9503300,4532.85,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000473,IN-TR20220401005,9404757,6031.81,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000482,,9007147,0,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000484,IN-HK20220401006,9410629,8783.13,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000485,IN-AE20220401019,9417194,28845.31,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/08/2022,2723BKCEXP000488,IN-GB20220401059,9430132,44329.42,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/12/2022,2723BKCEXP001058,IN-GB20220408009,9559867,14212.51,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/12/2022,2723BKCEXP001059,IN-NL20220407034,9547324,3222.22,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/12/2022,2723BKCEXP001060,IN-GB20220407006,9562002,51288.44,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/12/2022,2723BKCEXP001061,IN-AE20220408010,9563037,10047.2,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/12/2022,2723BKCEXP001062,IN-US20220408003,9561144,106978.99,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/12/2022,2723BKCEXP001063,IN-HK20220407032,9552957,2483.16,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
04/12/2022,2723BKCEXP001094,IN-US20220407023,9529935,78098.55,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001531,IN-GB20220404028,9455859,53598.07,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001540,IN-US20220401036,9423924,66695.43,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001541,IN-US20220405020,9479880,75989.87,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001546,IN-GB20220404052,9480080,50610.05,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001547,IN-US20220402017,9456181,196872.98,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001562,IN-NL20220407022,9527985,9350.29,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001563,IN-NL20220406034,9522322,1339.64,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001565,IN-NL20220404032,9450413,9710.06,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001566,IN-GB20220406065,9530109,96529.36,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001574,IN-GB20220411007,9613559,1515.87,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001576,IN-NL20220411005,9612152,30079.08,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/13/2022,2723BKCEXP001577,IN-US20220411003,9607277,13678.74,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/15/2022,2723BKCEXP002036,IN-NL20220412051,9658993,16628.91,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/15/2022,2723BKCEXP002038,IN-HK20220412023,9642963,5534.86,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/16/2022,2723BKCEXP002225,IN-GB20220411059,9642260,66508.15,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/16/2022,2723BKCEXP002227,IN-GB20220409008,9608989,99035.11,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/16/2022,2723BKCEXP002228,IN-US20220409029,9609941,140822.44,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/16/2022,2723BKCEXP002229,IN-US20220412022,9642607,82894.87,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/16/2022,2723BKCEXP002230,IN-NL20220411039,9626385,14237.37,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/16/2022,2723BKCEXP002303,IN-US20220413019,9669726,83156.84,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/16/2022,2723BKCEXP002359,IN-BE20220411037,9627251,905.76,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002793,IN-TR20220415025,9714563,14683.79,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002854,IN-GB20220412008,9670173,56468.13,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002855,IN-NL20220415026,9717573,23057,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002857,IN-NL20220415034,9717412,10589.87,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002859,IN-HK20220415026,9714540,14883.06,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002877,IN-US20220414033,9708222,48783.2,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/20/2022,2723BKCEXP003062,IN-AE20220416026,9733273,27411.29,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003334,IN-GB20220414035,9731407,123000.28,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003336,IN-GB20220415051,9731406,59176.31,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003338,IN-GB20220416044,9760556,30582.25,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003339,IN-US20220415061,9733884,79825.7,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003340,IN-US20220414056,9734060,189877.45,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003342,IN-US20220418013,9759620,69149.17,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003344,IN-US20220418018,9771145,400.35,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003345,IN-NL20220418029,9777808,10517.7,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003364,IN-BE20220418015,9755137,91.16,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/22/2022,2723BKCEXP003885,IN-US20220419003,9789482,64847.09,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/22/2022,2723BKCEXP003898,IN-US20220420007,9818765,215466.72,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/22/2022,2723BKCEXP003899,IN-NL20220419025,9806561,22832.38,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/22/2022,2723BKCEXP003901,IN-NL20220418021,9773701,2473.39,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/23/2022,2723BKCEXP004130,IN-NL20220421047,9862016,9526.79,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/23/2022,2723BKCEXP004133,IN-US20220422042,9876589,36648.33,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
