JobNo,JobDate,BillNo,BillDate,Shipping Bill No/BOE NO,Shipper,Consignee,DESTINATION,COUNTRY,InvNo_Dt,SB/BE NO,SB/BE Date,HAWBNO,HAWB_DATE,MAWBNO,MAWB_DATE,Flight No,Flight Date,No of Pkg,Net wt,Net Wt UOM,GROSS_WEIGHT,GROSS_WEIGHTUNIT,Value in Us$,Value in INR,Agency,REIMBURS,TaxTotal,Total,TaxableValue,IGSTAMOUNT,AGENT,DESCRIPTION
KI000140            ,4/1/2022,2723BKCIMP000012,4/7/2022,8032234-26.03.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,8032234-26.03.2022,3/26/2022,3405-0434214,3/26/2022,176 68888046,3/26/2022,,3/28/2022,1,3.49,CTM       ,0.2,KG  ,4754.56,365626,5700,0,1026,6726,,,BR    ,ROUGH SYNTHETIC STONE
KI000018            ,4/1/2022,2723BKCIMP000027,4/7/2022,8105323-01.04.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,8105323-01.04.2022,4/1/2022,7881089,4/1/2022,724 23931703,4/1/2022,LX 154,4/3/2022,1,44.94,CTM       ,0.2,KG  ,35591.6,3619666,5050,0,909,5959,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI000074            ,4/2/2022,2723BKCIMP000029,4/7/2022,8120963-02.04.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,8120963-02.04.2022,4/2/2022,1101-4642363,3/30/2022,020 23927422,3/30/2022,LH 756,4/1/2022,1,20.44,CTM       ,0.2,KG  ,31425.22,2416599,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI000140            ,4/1/2022,C2723BKCIM000001,4/7/2022,8032234-26.03.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,8032234-26.03.2022,3/26/2022,3405-0434214,3/26/2022,176 68888046,3/26/2022,,3/28/2022,1,3.49,CTM       ,0.2,KG  ,4754.56,365626,0,21460,0,21460,,,BR    ,ROUGH SYNTHETIC STONE
KI000216            ,4/1/2022,2723BKCIMP000528,4/8/2022,8077095-30.03.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,8077095-30.03.2022,3/30/2022,1101-4636270,3/25/2022,724 24517555,3/25/2022,LX 154,3/27/2022,1,253.84,CTM       ,0.2,KG  ,547421.15,42096686,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI000212            ,4/1/2022,2723BKCIMP000529,4/8/2022,8075584-30.03.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,8075584-30.03.2022,3/30/2022,1101-4636251,3/25/2022,724 24517555,3/30/2022,,4/1/2022,1,57.95,CTM       ,0.2,KG  ,470532.48,36183948,5050,0,909,5959,,,BR    ,CUT AND POLISHED DIAMONDS
KI000211            ,4/1/2022,2723BKCIMP000538,4/8/2022,8075283-30.03.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,8075283-30.03.2022,3/30/2022,1101-4636493,3/30/2022,724 24517555,3/30/2022,,4/1/2022,1,123.99,CTM       ,0.2,KG  ,971465.77,74705718,5050,0,909,5959,,,BR    ,CUT AND POLISHED DIAMONDS
KI000464            ,4/15/2022,2723BKCIMP003531,4/21/2022,8292041-16.04.22,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,8292041-16.04.22,4/15/2022,1101-4663646,4/15/2022,724 24821381,4/15/2022,,4/17/2022,1,19.43,CTM       ,0.2,KG  ,27227.64,2091083,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI000684            ,4/23/2022,2723BKCIMP005840,4/30/2022,8402364-23-04-22,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,8402364-23-04-22,4/23/2022,1101-4670595,4/23/2022,020 23927831,4/23/2022,,4/25/2022,1,8.16,CTM       ,0.2,KG  ,11425.91,881509,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
BI000015            ,4/13/2022,2723CORIMP000031,4/30/2022,8068294-30-03-22,NIVODA LLP,NIVODA LLP,PAR,FRANCE              ,000662-3-SCDI DT 24.02.2022,8068294-30-03-22,4/13/2022,-,3/22/2022,098 90853195,3/22/2022,,3/27/2022,2,17.3,KG        ,17.3,KG  ,801777,801777,9435,0,1698.3,11133.3,,,      ,SPACECODE BOARD V5
