CONBRN,CONBILLNO,CONBILLDATE,CONSHIPPER,CONCOSIGN,CONHAWBNO,CONHAWBDT,MAWB,CONMAWDT,TrackingNo,CONPRD1,CONPKGS,CONGRSWT,CONNETWT,CONSHPBILL,CONPORT,FREIGHT,OTHER,VALCHG,CONAGTFEE,CONCARRFEE,TOTAL,GST,ROUND OFF,AMOUNT DUE,CGSTAMT,SGSTAMT,IGSTAMT,UTGSTAMT,OCGSTAMT,OSGSTAMT,OIGSTAMT,OUTGSTAMT,FCGSTTAXRATE,CGST,FSGSTTAXRATE,SGST,FIGSTTAXRATE,IGST,FUTGSTTAXRATE,UTGST,ROUNDOFF,DISCOUNT,CONTOSHIP,SHIPPER,EXPRTNM,BILLTO,ServiceType,shipmentProductType,ShipmentDays,AIRLINECODE,AIRLINE,JOBNO,CIFVAL,CIFRS,GRNO,GRDT,ShipperPan,BillingPartyPanNo
BKC  ,2722BKCIPS019677,1/3/2022,N00691    ,W0756,IPS/K019435                   ,12/16/2021,02362852985,12/15/2021,519017681166,CUT & POLISHED LAB GROWN DIAMONDS,1,1.19,19.09,6711960,AMS,7999,0,1233,0,2204,11436,2058.48,0,13494,0,0,396.72,0,0,0,0,0,0,0,0,0,18,1661.76,0,0,-0.48,0,N00691,NIVODA LLP,WORLD D CENTRE KLUP OFFICE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE059168            ,14780.17,1233405,20211213054,12/13/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019678,1/3/2022,N00691    ,W0756,IPS/K019678                   ,12/20/2021,02362932752,12/18/2021,519017682883,CUT & POLISHED LAB GROWN DIAMONDS,1,1.05,5.5,6797287,AMS,7999,0,899,0,2204,11102,1998.36,0,13100,0,0,396.72,0,0,0,0,0,0,0,0,0,18,1601.64,0,0,-0.36,0,N00691,NIVODA LLP,WORLD D CENTRE KLUP OFFICE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE060028            ,10773.97,899088,20211216041,12/16/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019679,1/3/2022,N00691    ,W0756,IPS/K019826                   ,12/21/2021,02362931153,12/20/2021,519017684224,LAB GROWN CUT & POLISHED DIAMONDS,1,0.86,6.93,6887009,AMS,7999,0,0,0,755,8754,1575.72,0,10330,0,0,135.9,0,0,0,0,0,0,0,0,0,18,1439.82,0,0,0.28,0,N00691,NIVODA LLP,WORLD D CENTRE KLUP OFFICE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE060771            ,23380.91,1951137,WA 20211220011,12/20/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019680,1/3/2022,N00691    ,N2439,IPS/K019848                   ,12/21/2021,02362931153,12/21/2021,519017684452,CUT & POLISHED DIAMONDS,1,0.93,3.84,6903764,LON,7999,0,0,0,755,8754,1575.72,0,10330,0,0,135.9,0,0,0,0,0,0,0,0,0,18,1439.82,0,0,0.28,0,N00691,NIVODA LLP,NIVODA LIMITED.....,NIVODA LLP,FEDEX,,,FE,FEDEX,KE060898            ,17896.52,1754754,20211220035,12/21/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019681,1/3/2022,N00691    ,C2803,IPS/K019968                   ,12/24/2021,51405492491,12/23/2021,1Z6725VWD949427669,CUT & POLISHED DIAMONDS COLOUR GEM STONE,1,0.31,0.19,6963795,LON,4000,0,80,0,350,4430,797.4,0,5227,0,0,63,0,0,0,0,0,0,0,0,0,18,734.4,0,0,-0.4,0,N00691,NIVODA LLP,CUT THRU J ,NIVODA LLP,UPS,SINGLEPACKAGE,7,G9,AIR ARABIA CARGO,KE061353            ,162.38,15921,20211222068,12/23/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019682,1/3/2022,N00691    ,N2673,IPS/K019977                   ,12/24/2021,02362931223,12/23/2021,519017684967,CUT & POLISHED LAB GROWN DIAMONDS,1,1.02,10.91,6960081,NYC,7799,0,0,0,1954,9753,1755.54,0,11509,0,0,351.72,0,0,0,0,0,0,0,0,0,18,1403.82,0,0,0.46,0,N00691,NIVODA LLP,NIVODA USA LLC                       .,NIVODA LLP,FEDEX,,,FE,FEDEX,KE061298            ,14212.78,1072354,WA 20211222053,12/23/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019683,1/3/2022,N00691    ,N2673,IPS/K020026                   ,12/24/2021,02362931256,12/24/2021,519017685297,LAB GROWN CUT & POLISHED DIAMONDS,1,1.1,12.98,6989693,NYC,7799,0,0,0,1954,9753,1755.54,0,11509,0,0,351.72,0,0,0,0,0,0,0,0,0,18,1403.82,0,0,0.46,0,N00691,NIVODA LLP,NIVODA USA LLC                       .,NIVODA LLP,FEDEX,,,FE,FEDEX,KE061552            ,21420.21,1616155,WA 20211223014,12/24/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019684,1/3/2022,N00691    ,W0759,IPS/K020035                   ,12/24/2021,02362931256,12/24/2021,519017685460,LAB GROWN CUT & POLISHED DIAMONDS,1,0.8,1.8,6988504,AMS,7999,0,500,0,1005,9504,1710.72,0,11215,0,0,180.9,0,0,0,0,0,0,0,0,0,18,1529.82,0,0,0.28,0,N00691,NIVODA LLP,WORLD DIAMOND CENTER-KLUP OFFICE,NIVODA LLP,FEDEX,,,FE,FEDEX,KE061540            ,1483.56,123803,20211224039,12/24/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019685,1/3/2022,N00691    ,W0756,IPS/K020150                   ,12/29/2021,02363018900,12/28/2021,519017686179,LAB GROWN CUT & POLISHED DIAMONDS,1,0.8,1.93,7067481,AMS,7999,0,500,0,1005,9504,1710.72,0,11215,0,0,180.9,0,0,0,0,0,0,0,0,0,18,1529.82,0,0,0.28,0,N00691,NIVODA LLP,WORLD D CENTRE KLUP OFFICE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE062045            ,2179.73,181898,WA 20211228029,12/28/2021,AAQFN4016M,AAQFN4016M
BKC  ,2722BKCIPS019686,1/3/2022,N00691    ,W0756,IPS/K020228                   ,12/31/2021,02363018970,12/30/2021,519017686823,CUT & POLISHED LAB GROWN DIAMONDS,1,0.97,9.34,7142217,AMS,7999,0,500,0,1005,9504,1710.72,0,11215,0,0,180.9,0,0,0,0,0,0,0,0,0,18,1529.82,0,0,0.28,0,N00691,NIVODA LLP,WORLD D CENTRE KLUP OFFICE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE062600            ,5143.53,451759,20211230011,12/30/2021,AAQFN4016M,AAQFN4016M
