Invoice #,Invoice Date,Paid Date,Balance Amount,Shipment Create Date,Shipper Company,Shp. Address,Shp. City,Shp. State,Shp. Zip/Postal Code,Shp. Country,Pickup Date,Pickup Company,PU Address,PU City,PU State,PU Zip/Postal ,PU Country,Delivery Company,Dlv. Address,Dlv. City,Dlv. State,Dlv. Zip/Postal ,Dlv. Country,HAWB #,Item #,P.O.#,MAWB #,Shippers Ref,Pick Up Invoice Number,Commodity,,Weight (LBs),Weight (KGs),Chrg. Weight (KGs),Liability,Liability Currency,Base Charge,Weight Charge,Valuation Charge,Security Charge,Fuel Charge,Other Charges,Tax Amount,Total,Currency Code,Invoicing Entity
128888,11-Nov-2022,18-Nov-2022,0.00,01-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,01-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013709384,990109538623 ,,160-4953-0320,5164683,,Lab Grown Diamonds,,8.82,4.00,4.00,"93,280",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,72.50,797.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
128897,11-Nov-2022,18-Nov-2022,0.00,02-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,02-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013709523,990109540266 ,,618-2544-9966,5188705,,Lab Grown Diamonds,,11.60,5.26,5.26,"98,086",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,72.50,797.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
128908,11-Nov-2022,18-Nov-2022,0.00,03-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,03-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013709658,990109541994 ,,160-4953-0386,5213910,,Lab Grown Diamonds,,9.48,4.30,4.30,"106,221",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
128972,22-Nov-2022,30-Dec-2022,0.00,09-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,09-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013710370,990109550943 ,,618-2545-0121,5335156,,Lab Grown Diamonds,,9.70,4.40,4.40,"87,988",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
128979,22-Nov-2022,30-Dec-2022,0.00,10-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,10-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013710717,990109554863 ,,160-4953-0670,5363390,,Lab Grown Diamonds,,3.57,1.62,1.62,"27,875",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
129034,24-Nov-2022,30-Dec-2022,0.00,14-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,14-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013711256,990109561465 ,,160-4953-0795,5434779,,Lab Grown Diamonds,,6.79,3.08,3.08,"74,844",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
129035,24-Nov-2022,30-Dec-2022,0.00,14-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,15-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013711493,990109563705 ,,160-4953-0795,5461302,,Lab Grown Diamonds,,7.30,3.31,3.31,"59,688",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
129066,29-Nov-2022,08-Dec-2022,0.00,21-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,21-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013712877,990109579632 ,,160-4953-1285,5596500,,Lab Grown Diamonds,,5.73,2.60,2.60,"32,213",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
129162,30-Nov-2022,30-Dec-2022,0.00,18-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,18-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013712373,990109573892 ,,160-4953-1134,5545312,,Lab Grown Diamonds,,5.45,2.47,2.47,"80,476",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
129173,30-Nov-2022,30-Dec-2022,0.00,21-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,22-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013713099,990109581850 ,,160-4953-1355,5623265,,Lab Grown Diamonds,,4.43,2.01,2.01,"25,162",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
