CONBRN,CONBILLNO,CONBILLDATE,CONSHIPPER,CONCOSIGN,CONHAWBNO,CONHAWBDT,MAWB,CONMAWDT,TrackingNo,CONPRD1,CONPKGS,CONGRSWT,CONNETWT,CONSHPBILL,CONPORT,FREIGHT,OTHER,VALCHG,CONAGTFEE,CONCARRFEE,TOTAL,GST,ROUND OFF,AMOUNT DUE,CGSTAMT,SGSTAMT,IGSTAMT,UTGSTAMT,OCGSTAMT,OSGSTAMT,OIGSTAMT,OUTGSTAMT,FCGSTTAXRATE,CGST,FSGSTTAXRATE,SGST,FIGSTTAXRATE,IGST,FUTGSTTAXRATE,UTGST,ROUNDOFF,DISCOUNT,CONTOSHIP,SHIPPER,EXPRTNM,BILLTO,ServiceType,shipmentProductType,ShipmentDays,AIRLINECODE,AIRLINE,JOBNO,CIFVAL,CIFRS,GRNO,GRDT,ShipperPan,BillingPartyPanNo,IPSDDF,BLADD1,BLADD2,BLADD3,BLCITY,BLSTNAME,BLSTGSTSTATE,BLGSTNO,BLPANNO,BLCODE,BLPIN
BKC  ,2724BKCIPS000071,4/8/2023,N00691    ,W0800,IPS/K000024                   ,4/3/2023,02344619024,4/1/2023,396488350198,LAB GROWN CUT & POLISHED DIAMONDS,1,2.12,26.48,9006983,AMS,15599,0,0,0,3743,19342,3481.56,0,22824,0,0,673.74,0,0,0,0,0,0,0,0,0,18,2807.82,0,0,0.44,0,N00691,NIVODA LLP,WORLD D CENTRE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE000027            ,59753.07,5150715,WA-20230401034,4/1/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000072,4/8/2023,N00691    ,N2828,IPS/K000027                   ,4/3/2023,02344619035,4/1/2023,"396488572198,3161",LAB GROWN CUT & POLISHED DIAMONDS,2,4.26,117.36,9007661,VIC,17999,0,0,0,7483,25482,4586.76,0,30069,0,0,1346.94,0,0,0,0,0,0,0,0,0,18,3239.82,0,0,0.24,0,N00691,NIVODA LLP,"NIVODA AUSTRALIA PTY LTD,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE000056            ,80414.35,4318251,WA 20230401038,4/1/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000073,4/8/2023,N00691    ,W0800,IPS/K000029                   ,4/3/2023,02344619024,4/1/2023,396488825640,LAB GROWN CUT & POLISHED DIAMONDS,1,2.18,29.73,9007647,AMS,12699,0,0,0,4555,17254,3105.72,0,20360,0,0,819.9,0,0,0,0,0,0,0,0,0,18,2285.82,0,0,0.28,0,N00691,NIVODA LLP,WORLD D CENTRE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE000055            ,32802.42,2827569,WA 20230401040,4/1/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000074,4/8/2023,N00691    ,W0800,IPS/K000046                   ,4/3/2023,02344619024,4/3/2023,396522066030,LAB GROWN CUT & POLISHED DIAMONDS,1,2.32,35.64,9031525,AMS,12699,0,0,0,3743,16442,2959.56,0,19402,0,0,673.74,0,0,0,0,0,0,0,0,0,18,2285.82,0,0,0.44,0,N00691,NIVODA LLP,WORLD D CENTRE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE900201            ,36429.98,3140264,WA-20230403037,4/3/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000075,4/8/2023,N00691    ,N2848,IPS/K000047                   ,4/3/2023,02344619024,4/3/2023,396522239487,LAB GROWN CUT & POLISHED DIAMONDS,1,0.96,2.81,9031530,LON,10400,0,0,0,2930,13330,2399.4,0,15729,0,0,527.4,0,0,0,0,0,0,0,0,0,18,1872,0,0,-0.4,0,N00691,NIVODA LLP,"NIVODA LIMITED,,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE900202            ,794.69,78118,WA-20230403036,4/3/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000076,4/8/2023,N00691    ,W0800,IPS/K000052                   ,4/3/2023,02344619024,4/3/2023,396522682661,LAB GROWN CUT & POLISHED DIAMONDS,1,0.86,2.06,9034091,AMS,10400,0,500,0,2930,13830,2489.4,0,16319,0,0,527.4,0,0,0,0,0,0,0,0,0,18,1962,0,0,-0.4,0,N00691,NIVODA LLP,WORLD D CENTRE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE900229            ,1100.16,94834,WA 20230403044,4/3/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000077,4/8/2023,N00691    ,N2673,IPS/K000053                   ,4/3/2023,02344619024,4/3/2023,396524098119,LAB GROWN CUT & POLISHED DIAMONDS,1,0.93,4.91,9034662,NYC,9850,0,500,0,2770,13120,2361.6,0,15482,0,0,498.6,0,0,0,0,0,0,0,0,0,18,1863,0,0,0.4,0,N00691,NIVODA LLP,NIVODA USA LLC                       .,NIVODA LLP,FEDEX,,,FE,FEDEX,KE900237            ,1540.27,126225,WA-20230403043,4/3/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000078,4/8/2023,N00691    ,N2828,IPS/K000054                   ,4/3/2023,02344619035,4/3/2023,396522829574,LAB GROWN CUT & POLISHED DIAMONDS,1,0.8,1.27,9035903,VIC,11650,0,500,0,3070,15220,2739.6,0,17960,0,0,552.6,0,0,0,0,0,0,0,0,0,18,2187,0,0,0.4,0,N00691,NIVODA LLP,"NIVODA AUSTRALIA PTY LTD,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE900249            ,608.16,32658,WA 20230403045,4/3/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000079,4/8/2023,N00691    ,W0800,IPS/K000087                   ,4/5/2023,02344619050,4/5/2023,"396639881544,2312",LAB GROWN CUT & POLISHED DIAMONDS,2,3.85,51.36,9078843,AMS,12699,0,0,0,6993,19692,3544.56,0,23237,0,0,1258.74,0,0,0,0,0,0,0,0,0,18,2285.82,0,0,0.44,0,N00691,NIVODA LLP,WORLD D CENTRE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE900520            ,43481.79,3748130,WA-20230405079,4/5/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS000080,4/8/2023,N00691    ,W0800,IPS/K000124                   ,4/6/2023,02344619061,4/5/2023,396640306983,LAB GROWN CUT & POLISHED DIAMONDS,1,2.53,40.12,9086197,AMS,12699,0,0,0,4555,17254,3105.72,0,20360,0,0,819.9,0,0,0,0,0,0,0,0,0,18,2285.82,0,0,0.28,0,N00691,NIVODA LLP,WORLD D CENTRE ,NIVODA LLP,FEDEX,,,FE,FEDEX,KE900632            ,39899.45,3439333,WA 20230405056,4/5/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
