Account Number,Invoice Number,Invoice Date,Tracking Number,Pickup Number,Reference Number 1,Reference Number 2,Reference Number 3,Reference Number 4,Reference Number 5,Shipping System / Adjustment,Zone,Service Type,Published Charge,Incentives,Net Amount Due
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Non-European Union Waybills,,,,,£296.55
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057023305,28 Mar 2023,1Z005E5E0437205282,,,,,,,Non-European Union Waybills,005,WW Express Saver,£149.13,£108.59,£40.54
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Discounts,,,,,-£215.93
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Total Non-Taxable Charges,,,,,£80.62
0000005E5E,000000057023305,28 Mar 2023,1Z005E5E0425147895,,,,,,,Non-European Union Waybills,005,WW Express Saver,£147.42,£107.34,£40.08
0000005E5E,000000057152349,11 Apr 2023,,,,,,,,VAT,,,,,£1.12
0000005E5E,000000057152349,11 Apr 2023,,,,,,,,Charges,,,,,£5.60
0000005E5E,000000057152349,11 Apr 2023,,,,,,,,Total Taxable Charges,,,,,£5.60
0000005E5E,000000057152349,11 Apr 2023,6725VWHTJJK,,,,,,,Shipment Detail,000,WW Express,£0.00,£0.00,£5.60
0000005E5E,000000057152351,11 Apr 2023,,,,,,,,VAT,,,,,£1.12
0000005E5E,000000057152351,11 Apr 2023,,,,,,,,Total Taxable Charges,,,,,£5.60
0000005E5E,000000057152351,11 Apr 2023,,,,,,,,Charges,,,,,£5.60
0000005E5E,000000057152351,11 Apr 2023,6725VWJCXXH,,,,,,,Shipment Detail,000,WW Express,£0.00,£0.00,£5.60
0000005E5E,000000057152356,11 Apr 2023,,,,,,,,VAT,,,,,£1.12
0000005E5E,000000057152356,11 Apr 2023,,,,,,,,Total Taxable Charges,,,,,£5.60
0000005E5E,000000057152356,11 Apr 2023,,,,,,,,Charges,,,,,£5.60
0000005E5E,000000057152356,11 Apr 2023,6725VWJ89NQ,,,,,,,Shipment Detail,000,WW Express,£0.00,£0.00,£5.60
0000005E5E,000000057152354,11 Apr 2023,,,,,,,,Total Taxable Charges,,,,,£5.60
0000005E5E,000000057152354,11 Apr 2023,6725VWJ8LT8,,,,,,,Shipment Detail,000,WW Express Saver,£0.00,£0.00,£5.60
0000005E5E,000000057152354,11 Apr 2023,,,,,,,,VAT,,,,,£1.12
0000005E5E,000000057152354,11 Apr 2023,,,,,,,,Charges,,,,,£5.60
0000005E5E,000000057152350,11 Apr 2023,,,,,,,,Total Taxable Charges,,,,,£5.60
0000005E5E,000000057152350,11 Apr 2023,,,,,,,,Charges,,,,,£5.60
0000005E5E,000000057152350,11 Apr 2023,,,,,,,,VAT,,,,,£1.12
0000005E5E,000000057152350,11 Apr 2023,6725VWHT9WZ,,,,,,,Shipment Detail,000,WW Express Saver,£0.00,£0.00,£5.60
0000005E5E,000000057152352,11 Apr 2023,,,,,,,,Total Taxable Charges,,,,,£5.60
0000005E5E,000000057152352,11 Apr 2023,,,,,,,,Charges,,,,,£5.60
0000005E5E,000000057152352,11 Apr 2023,,,,,,,,VAT,,,,,£1.12
0000005E5E,000000057152352,11 Apr 2023,6725VWJGLRX,,,,,,,Shipment Detail,000,WW Express,£0.00,£0.00,£5.60
0000005E5E,000000057152353,11 Apr 2023,,,,,,,,Total Taxable Charges,,,,,£5.60
0000005E5E,000000057152353,11 Apr 2023,,,,,,,,Charges,,,,,£5.60
0000005E5E,000000057152353,11 Apr 2023,,,,,,,,VAT,,,,,£1.12
0000005E5E,000000057152353,11 Apr 2023,6725VWJ7WT4,,,,,,,Shipment Detail,000,WW Express,£0.00,£0.00,£5.60
0000005E5E,000000057152355,11 Apr 2023,,,,,,,,VAT,,,,,£1.12
0000005E5E,000000057152355,11 Apr 2023,,,,,,,,Charges,,,,,£5.60
0000005E5E,000000057152355,11 Apr 2023,,,,,,,,Total Taxable Charges,,,,,£5.60
0000005E5E,000000057152355,11 Apr 2023,6725VWJ8M8B,,,,,,,Shipment Detail,000,WW Express,£0.00,£0.00,£5.60
0000005E5E,000000057230659,18 Apr 2023,1Z005E5E0427005507,,,,,,,Non-European Union Waybills,005,WW Express Saver,£144.58,£105.27,£39.31
0000005E5E,000000057230659,18 Apr 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057230659,18 Apr 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057230659,18 Apr 2023,,,,,,,,Total Non-Taxable Charges,,,,,£39.31
0000005E5E,000000057230659,18 Apr 2023,,,,,,,,Non-European Union Waybills,,,,,£144.58
0000005E5E,000000057230659,18 Apr 2023,,,,,,,,Discounts,,,,,-£105.27
0000005E5E,000000057307251,25 Apr 2023,,,,,,,,Total Non-Taxable Charges,,,,,£39.77
0000005E5E,000000057307251,25 Apr 2023,,,,,,,,Discounts,,,,,-£106.51
0000005E5E,000000057307251,25 Apr 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057307251,25 Apr 2023,,,,,,,,Non-European Union Waybills,,,,,£146.28
0000005E5E,000000057307251,25 Apr 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057307251,25 Apr 2023,1Z005E5E0403602915,,,,,,,Non-European Union Waybills,005,WW Express Saver,£146.28,£106.51,£39.77
0000005E5E,000000057436739,09 May 2023,,,,,,,,Non-European Union Waybills,,,,,£143.72
0000005E5E,000000057436739,09 May 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057436739,09 May 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057436739,09 May 2023,,,,,,,,Total Non-Taxable Charges,,,,,£39.07
0000005E5E,000000057436739,09 May 2023,,,,,,,,Discounts,,,,,-£104.65
0000005E5E,000000057436739,09 May 2023,1Z005E5E0400926527,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.72,£104.65,£39.07
0000005E5E,000000057634488,30 May 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057634488,30 May 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057634488,30 May 2023,,,,,,,,Non-European Union Waybills,,,,,£285.74
0000005E5E,000000057634488,30 May 2023,,,,,,,,Total Non-Taxable Charges,,,,,£77.68
0000005E5E,000000057634488,30 May 2023,,,,,,,,Discounts,,,,,-£208.06
0000005E5E,000000057634488,30 May 2023,1Z005E5E0435278118,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057634488,30 May 2023,1Z005E5E0432465724,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057695504,06 Jun 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057695504,06 Jun 2023,1Z005E5E0407220339,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057695504,06 Jun 2023,1Z005E5E0433585941,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057695504,06 Jun 2023,1Z005E5E0431068334,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057695504,06 Jun 2023,,,,,,,,Total Non-Taxable Charges,,,,,£116.52
0000005E5E,000000057695504,06 Jun 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057695504,06 Jun 2023,,,,,,,,Discounts,,,,,-£312.09
0000005E5E,000000057695504,06 Jun 2023,,,,,,,,Non-European Union Waybills,,,,,£428.61
0000005E5E,000000057761606,13 Jun 2023,1Z005E5E0408248344,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057761606,13 Jun 2023,,,,,,,,Discounts,,,,,-£416.12
0000005E5E,000000057761606,13 Jun 2023,,,,,,,,Non-European Union Waybills,,,,,£571.48
0000005E5E,000000057761606,13 Jun 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057761606,13 Jun 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057761606,13 Jun 2023,,,,,,,,Total Non-Taxable Charges,,,,,£155.36
0000005E5E,000000057761606,13 Jun 2023,1Z005E5E0432518551,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057761606,13 Jun 2023,1Z005E5E0430366166,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057761606,13 Jun 2023,1Z005E5E0439628778,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.87,£104.03,£38.84
0000005E5E,000000057830012,20 Jun 2023,,,,,,,,Discounts,,,,,-£103.61
0000005E5E,000000057830012,20 Jun 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057830012,20 Jun 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057830012,20 Jun 2023,1Z005E5E0422806384,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.30,£103.61,£38.69
0000005E5E,000000057830012,20 Jun 2023,,,,,,,,Total Non-Taxable Charges,,,,,£38.69
0000005E5E,000000057830012,20 Jun 2023,,,,,,,,Non-European Union Waybills,,,,,£142.30
0000005E5E,000000057895775,27 Jun 2023,,,,,,,,Non-European Union Waybills,,,,,£430.32
0000005E5E,000000057895775,27 Jun 2023,,,,,,,,Total Non-Taxable Charges,,,,,£117.00
0000005E5E,000000057895775,27 Jun 2023,1Z005E5E0403562969,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.44,£104.44,£39.00
0000005E5E,000000057895775,27 Jun 2023,,,,,,,,Discounts,,,,,-£313.32
0000005E5E,000000057895775,27 Jun 2023,1Z005E5E0432398995,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.44,£104.44,£39.00
0000005E5E,000000057895775,27 Jun 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057895775,27 Jun 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057895775,27 Jun 2023,1Z005E5E0400254557,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.44,£104.44,£39.00
0000005E5E,000000057964375,04 Jul 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057964375,04 Jul 2023,,,,,,,,Discounts,,,,,-£104.44
0000005E5E,000000057964375,04 Jul 2023,,,,,,,,Non-European Union Waybills,,,,,£143.44
0000005E5E,000000057964375,04 Jul 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057964375,04 Jul 2023,,,,,,,,Total Non-Taxable Charges,,,,,£39.00
0000005E5E,000000057964375,04 Jul 2023,1Z005E5E0430906608,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.44,£104.44,£39.00
0000005E5E,000000058022946,11 Jul 2023,1Z005E5E0408177573,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.72,£104.65,£39.07
0000005E5E,000000058022946,11 Jul 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058022946,11 Jul 2023,,,,,,,,Non-European Union Waybills,,,,,£431.16
0000005E5E,000000058022946,11 Jul 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058022946,11 Jul 2023,,,,,,,,Total Non-Taxable Charges,,,,,£117.21
0000005E5E,000000058022946,11 Jul 2023,1Z005E5E0411382380,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.72,£104.65,£39.07
0000005E5E,000000058022946,11 Jul 2023,1Z005E5E0430829219,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.72,£104.65,£39.07
0000005E5E,000000058022946,11 Jul 2023,,,,,,,,Discounts,,,,,-£313.95
0000005E5E,000000058150272,25 Jul 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058150272,25 Jul 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058150272,25 Jul 2023,,,,,,,,Discounts,,,,,-£104.65
0000005E5E,000000058150272,25 Jul 2023,,,,,,,,Total Non-Taxable Charges,,,,,£39.07
0000005E5E,000000058150272,25 Jul 2023,,,,,,,,Non-European Union Waybills,,,,,£143.72
0000005E5E,000000058150272,25 Jul 2023,1Z005E5E0407341397,,,,,,,Non-European Union Waybills,005,WW Express Saver,£143.72,£104.65,£39.07
0000005E5E,000000058214191,01 Aug 2023,,,,,,,,Total Non-Taxable Charges,,,,,£39.31
0000005E5E,000000058214191,01 Aug 2023,,,,,,,,Non-European Union Waybills,,,,,£144.58
0000005E5E,000000058214191,01 Aug 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058214191,01 Aug 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058214191,01 Aug 2023,,,,,,,,Discounts,,,,,-£105.27
0000005E5E,000000058214191,01 Aug 2023,1Z005E5E0434666825,,,,,,,Non-European Union Waybills,005,WW Express Saver,£144.58,£105.27,£39.31
0000005E5E,000000058275679,08 Aug 2023,,,,,,,,Total Non-Taxable Charges,,,,,£39.46
0000005E5E,000000058275679,08 Aug 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058275679,08 Aug 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058275679,08 Aug 2023,1Z005E5E0408698608,,,,,,,Non-European Union Waybills,005,WW Express Saver,£145.15,£105.69,£39.46
0000005E5E,000000058275679,08 Aug 2023,,,,,,,,Discounts,,,,,-£105.69
0000005E5E,000000058275679,08 Aug 2023,,,,,,,,Non-European Union Waybills,,,,,£145.15
